"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 17:15:00 CST 2022","Wed Jun 08 17:15:02 CST 2022","1988","test","test_api","","","","素材数据-素材维度-价格包细分-日粒度",""
"passed","Wed Jun 08 17:15:12 CST 2022","Wed Jun 08 17:15:12 CST 2022","107","test","test_api","","","","落地页数据-皮肤维度-落地页细分-时间对比",""
"passed","Wed Jun 08 17:14:49 CST 2022","Wed Jun 08 17:14:50 CST 2022","1145","test","test_api","","","","投手数据-代理商细分-时间对比",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:15 CST 2022","321","test","test_api","","","","首页-人均获客成本",""
"passed","Wed Jun 08 17:14:30 CST 2022","Wed Jun 08 17:14:31 CST 2022","527","test","test_api","","","","MP数据-投放维度-日粒度",""
"passed","Wed Jun 08 17:14:32 CST 2022","Wed Jun 08 17:14:33 CST 2022","122","test","test_api","","","","派单买A数据-派单时间对比",""
"passed","Wed Jun 08 17:14:57 CST 2022","Wed Jun 08 17:14:59 CST 2022","1713","test","test_api","","","","素材数据-素材维度-广告账号细分-日粒度",""
"passed","Wed Jun 08 17:14:18 CST 2022","Wed Jun 08 17:14:21 CST 2022","2222","test","test_api","","","","素材数据-素材维度时间对比",""
"passed","Wed Jun 08 17:13:50 CST 2022","Wed Jun 08 17:13:51 CST 2022","1562","test","test_api","","","","素材数据",""
"passed","Wed Jun 08 17:14:39 CST 2022","Wed Jun 08 17:14:39 CST 2022","651","test","test_api","","","","价格包数据-广告渠道细分-期粒度",""
"passed","Wed Jun 08 17:14:03 CST 2022","Wed Jun 08 17:14:04 CST 2022","470","test","test_api","","","","投手数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:13:55 CST 2022","Wed Jun 08 17:13:57 CST 2022","1375","test","test_api","","","","价格包趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:26 CST 2022","Wed Jun 08 17:15:27 CST 2022","972","test","test_api","","","","标签数据搜索",""
"passed","Wed Jun 08 17:15:32 CST 2022","Wed Jun 08 17:15:33 CST 2022","694","test","test_api","","","","总分维度-搜索",""
"passed","Wed Jun 08 17:14:14 CST 2022","Wed Jun 08 17:14:15 CST 2022","1435","test","test_api","","","","商品数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:30 CST 2022","Wed Jun 08 17:15:31 CST 2022","265","test","test_api","","","","买A搜索",""
"passed","Wed Jun 08 17:15:20 CST 2022","Wed Jun 08 17:15:22 CST 2022","2279","test","test_api","","","","员工-投手获客目标",""
"passed","Wed Jun 08 17:14:01 CST 2022","Wed Jun 08 17:14:02 CST 2022","292","test","test_api","","","","代理商趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:25 CST 2022","Wed Jun 08 17:15:25 CST 2022","52","test","test_api","","","","计划数据搜索",""
"passed","Wed Jun 08 17:14:54 CST 2022","Wed Jun 08 17:14:55 CST 2022","998","test","test_api","","","","账号数据-素材细分-期粒度",""
"passed","Wed Jun 08 17:15:06 CST 2022","Wed Jun 08 17:15:07 CST 2022","979","test","test_api","","","","素材数据-标签维度-素材标签-期粒度",""
"passed","Wed Jun 08 17:15:16 CST 2022","Wed Jun 08 17:15:18 CST 2022","2147","test","test_api","","","","员工-总获客目标",""
"passed","Wed Jun 08 17:15:29 CST 2022","Wed Jun 08 17:15:29 CST 2022","478","test","test_api","","","","回本策略维度-搜索",""
"passed","Wed Jun 08 17:14:44 CST 2022","Wed Jun 08 17:14:44 CST 2022","458","test","test_api","","","","代理商数据-投手细分-日粒度",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:15 CST 2022","350","test","test_api","","","","首页-人均获客趋势",""
"passed","Wed Jun 08 17:13:57 CST 2022","Wed Jun 08 17:13:57 CST 2022","549","test","test_api","","","","价格包趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:53 CST 2022","Wed Jun 08 17:14:54 CST 2022","1994","test","test_api","","","","账号数据-素材细分-日粒度",""
"passed","Wed Jun 08 17:14:51 CST 2022","Wed Jun 08 17:14:51 CST 2022","561","test","test_api","","","","投手数据-广告账号细分-期粒度",""
"passed","Wed Jun 08 17:14:50 CST 2022","Wed Jun 08 17:14:51 CST 2022","468","test","test_api","","","","投手数据-广告账号细分-日粒度",""
"passed","Wed Jun 08 17:15:20 CST 2022","Wed Jun 08 17:15:20 CST 2022","124","test","test_api","","","","员工-总获客目标修改",""
"passed","Wed Jun 08 17:15:22 CST 2022","Wed Jun 08 17:15:23 CST 2022","523","test","test_api","","","","员工-投手获客目标查询",""
